Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2002 [YR2002],2003 [YR2003],2004 [YR2004],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cayman Islands,CYM,0,0,0,0,63298.17765,64013.63594,62801.22815,62441.04907,63067.41992,64230.41201,66490.48877,69420.51146,72480.50701,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Central African Republic,CAF,635.4388309,725.6150247,684.9566262,730.7484539,958.9204484,1012.658089,1102.026532,738.4753903,720.3234642,787.0130816,851.0719211,912.8020523,955.1280615,984.0280497
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chad,TCD,698.3795766,891.9220303,1002.795037,1325.095284,1819.694767,1797.74936,1730.793693,1569.059772,1677.090699,1820.059393,1664.511672,1587.03106,1613.514935,1645.094153
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Channel Islands,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chile,CHL,4511.169978,10333.06366,10841.32382,11812.63497,18161.80392,20342.57092,21507.7074,22439.27836,22786.6556,22688.01003,22710.01706,23663.88529,24765.23459,25154.99282
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,China,CHN,982.3360582,3534.83387,3937.209021,4425.661071,9253.758638,10299.87111,11197.5979,11923.75202,12549.77174,12978.76857,13572.62073,14344.4204,15602.94147,16784.65935
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Colombia,COL,5012.220433,7018.082533,7319.543742,7806.050138,10731.64568,11604.01283,12018.35732,12727.27906,13306.99867,13265.79726,13952.13615,14316.48581,14965.89536,15643.73145
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Comoros,COM,1587.427922,1865.27044,1894.206453,1936.013281,2252.890772,2337.057388,2511.485162,2636.49431,2716.827525,2709.600878,2863.870042,3032.254682,3139.205772,3209.091291
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Dem. Rep.",COD,882.7730891,441.8203085,460.7701526,489.4199936,633.9131237,668.940861,669.567462,753.4851364,849.7607955,905.4504568,963.6693089,1059.810775,1111.517447,1143.453225
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Rep.",COG,3231.385037,3662.31892,3654.110706,3768.414492,4878.074711,5008.388803,4897.749802,4761.545672,4700.528126,3338.900972,3397.563518,3448.537208,3494.985739,3434.755675
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Costa Rica,CRI,5057.537866,8402.798411,8787.790371,9279.559826,12725.15233,13387.57215,14091.52889,14651.15236,15622.93048,16586.35303,18008.59989,19112.40889,19873.13955,20434.40843
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cote d'Ivoire,CIV,2053.966947,2236.329086,2199.900958,2239.75497,2522.36493,2404.04228,2626.068383,2828.401341,3127.479168,4652.890621,4726.983121,4830.751701,5147.587091,5455.360012
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Croatia,HRV,0,12647.6092,13550.3487,14534.50095,19776.1961,20743.52773,21136.47821,21769.18988,22062.07295,23013.49805,24718.12968,26595.73884,28038.68541,29973.42609
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cuba,CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Curacao,CUW,0,24342.34454,24358.34994,24637.58086,26884.27092,27224.40097,26175.4939,25921.15841,25379.2977,25090.20812,24808.40367,25475.48966,25571.64676,0
